Age,Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromoffice,JobInvolvement,Job Level,Total Working Years,Retirement,Promotion status,Job satisfaction,Performance Rating
54,Yes,Travel_Rarely,1298,Human Resources,3,Technical Degree,1,5303,1,Male,69,Sales Executive,3,Married,6618,14111,8,Yes,21,3,2,80,0,1,2,14,2,5,0,Very Far,2 Jobs,Level 1,17 Years,On service,due for promotion,Low,High Ratings
37,No,Non-Travel,948,Human Resources,3,Technical Degree,1,2612,4,Male,88,Research Scientist,3,Divorced,4329,3150,3,No,14,4,2,80,1,0,1,6,4,3,0,Very Far,4 Jobs,Level 3,18 Years,On service,Not due,Low,High Ratings
27,No,Travel_Frequently,484,Sales,2,Medical,1,812,4,Male,64,Business Analyst,1,Divorced,7849,14085,2,Yes,14,4,2,80,2,4,3,17,1,3,0,Very Far,2 Jobs,Level 1,12 Years,On service,due for promotion,Medium,High Ratings
43,Yes,Travel_Frequently,259,Sales,4,Medical,1,394,4,Male,95,Sales Executive,4,Married,12695,16537,5,Yes,10,4,1,80,1,4,4,2,7,9,2,Very Far,4 Jobs,Level 5,5 Years,On service,due for promotion,Medium,High Ratings
43,No,Non-Travel,906,Human Resources,3,Medical,1,3594,4,Female,65,Data Analyst,4,Married,8622,12870,7,No,15,4,4,80,3,4,1,16,2,6,9,Very Far,1 Jobs,Level 4,30 Years,On service,due for promotion,Low,High Ratings
38,No,Travel_Rarely,232,Sales,1,Technical Degree,1,2639,3,Male,97,Manager,1,Divorced,2169,20455,9,No,23,4,1,80,1,5,3,15,0,9,1,Very Far,4 Jobs,Level 2,9 Years,due for retirement,due for promotion,Medium,Low Ratings
47,Yes,Travel_Rarely,223,Human Resources,1,Marketing,1,2188,2,Male,68,Business Analyst,4,Married,2002,16652,3,Yes,14,3,2,80,0,3,1,12,6,2,3,Close,4 Jobs,Level 2,12 Years,On service,Not due,Low,Low Ratings
39,No,Non-Travel,474,Research & Development,4,Technical Degree,1,5352,2,Male,50,Sales Executive,2,Divorced,6543,27707,8,No,13,3,2,80,3,0,4,1,9,9,2,Very Far,3 Jobs,Level 5,20 Years,On service,Not due,Low,Low Ratings
49,No,Travel_Rarely,613,Human Resources,2,Life Sciences,1,320,3,Female,49,Data Analyst,1,Single,4430,7628,4,No,21,4,3,80,2,2,1,15,1,2,7,Close,2 Jobs,Level 1,9 Years,On service,due for promotion,Medium,High Ratings
26,No,Travel_Rarely,1349,Sales,4,Other,1,168,3,Male,86,Software Engineer,2,Single,8540,27204,1,No,22,4,1,80,2,4,4,16,3,0,6,Very Far,3 Jobs,Level 2,3 Years,due for retirement,due for promotion,Medium,High Ratings
40,No,Travel_Rarely,581,Research & Development,4,Medical,1,747,1,Male,47,Sales Executive,2,Divorced,15026,24353,7,Yes,23,4,4,80,1,0,3,3,5,9,0,Very Close,3 Jobs,Level 1,1 Years,due for retirement,due for promotion,High,High Ratings
45,Yes,Non-Travel,1383,Research & Development,1,Technical Degree,1,5471,3,Male,72,Research Scientist,4,Married,16395,19821,1,No,16,3,1,80,3,2,2,10,4,1,0,Close,1 Jobs,Level 5,22 Years,On service,Not due,High,High Ratings
30,No,Non-Travel,1175,Human Resources,2,Life Sciences,1,3708,4,Male,32,Research Scientist,1,Divorced,12845,25100,5,No,22,3,4,80,0,4,4,14,8,2,4,Close,3 Jobs,Level 2,15 Years,due for retirement,due for promotion,Low,High Ratings
55,No,Travel_Rarely,1342,Research & Development,4,Marketing,1,2765,2,Male,54,Research Scientist,3,Married,8990,16198,6,No,18,3,1,80,2,2,4,4,1,8,1,Close,3 Jobs,Level 3,10 Years,due for retirement,Not due,Low,Low Ratings
31,No,Travel_Rarely,784,Human Resources,1,Marketing,1,5113,2,Female,39,Business Analyst,4,Divorced,9553,14150,2,Yes,23,4,4,80,0,0,4,0,4,7,8,Very Close,2 Jobs,Level 4,14 Years,due for retirement,due for promotion,High,High Ratings
58,Yes,Travel_Frequently,1325,Human Resources,2,Marketing,1,4007,4,Female,38,Support Engineer,2,Single,15843,26381,5,Yes,21,3,2,80,1,0,4,9,7,9,0,Close,1 Jobs,Level 1,7 Years,due for retirement,Not due,Low,Low Ratings
18,No,Travel_Rarely,1001,Research & Development,3,Medical,1,1872,3,Male,83,Support Engineer,1,Divorced,8603,12087,1,Yes,14,3,4,80,2,2,3,1,7,4,2,Very Close,3 Jobs,Level 1,4 Years,On service,Not due,High,Low Ratings
30,No,Non-Travel,657,Research & Development,2,Marketing,1,5757,4,Male,67,Manager,4,Divorced,4063,5008,7,No,20,4,3,80,1,2,4,3,6,1,2,Very Far,4 Jobs,Level 1,26 Years,On service,due for promotion,Medium,Low Ratings
59,Yes,Travel_Rarely,509,Sales,4,Marketing,1,3194,3,Male,51,Sales Executive,3,Divorced,2356,26235,4,Yes,24,4,3,80,3,3,3,14,0,9,8,Close,2 Jobs,Level 1,5 Years,due for retirement,Not due,High,Low Ratings
38,No,Travel_Frequently,874,Human Resources,1,Marketing,1,3755,2,Male,81,Software Engineer,3,Single,2577,8712,4,No,14,4,2,80,3,5,4,14,2,6,6,Very Close,2 Jobs,Level 5,20 Years,On service,Not due,Low,Low Ratings
50,No,Non-Travel,1218,Research & Development,1,Medical,1,5626,3,Female,86,Sales Executive,3,Married,15871,27207,0,Yes,21,3,1,80,2,5,2,4,2,6,0,Very Far,2 Jobs,Level 5,16 Years,On service,due for promotion,Low,Low Ratings
32,No,Non-Travel,512,Sales,3,Other,1,4895,1,Male,45,Manager,4,Married,18817,18913,3,No,12,3,4,80,3,1,4,10,5,1,7,Very Far,1 Jobs,Level 5,3 Years,On service,Not due,Medium,High Ratings
44,Yes,Travel_Frequently,188,Sales,4,Medical,1,4103,2,Male,86,Data Analyst,4,Divorced,12743,14628,2,No,22,3,3,80,3,0,2,14,3,1,3,Close,4 Jobs,Level 5,17 Years,On service,Not due,Medium,Low Ratings
26,Yes,Travel_Frequently,422,Sales,4,Other,1,1262,3,Male,31,Manager,4,Divorced,2368,16697,6,No,12,3,2,80,0,0,1,8,7,6,0,Close,4 Jobs,Level 2,13 Years,On service,Not due,Medium,High Ratings
27,No,Non-Travel,863,Human Resources,2,Technical Degree,1,2339,1,Female,37,Research Scientist,1,Divorced,7084,7369,7,No,21,4,3,80,0,1,1,17,3,2,9,Close,3 Jobs,Level 5,6 Years,due for retirement,due for promotion,Low,Low Ratings
41,No,Non-Travel,553,Research & Development,1,Life Sciences,1,85,1,Male,64,Business Analyst,1,Single,3353,17287,6,No,17,3,4,80,1,3,2,16,6,4,8,Very Close,3 Jobs,Level 2,26 Years,On service,due for promotion,High,Low Ratings
47,Yes,Non-Travel,1003,Sales,4,Life Sciences,1,3822,3,Male,62,Data Analyst,4,Single,8293,25704,5,No,10,4,3,80,2,5,2,5,1,0,8,Close,3 Jobs,Level 3,5 Years,On service,due for promotion,Medium,Low Ratings
59,Yes,Non-Travel,612,Sales,2,Marketing,1,2654,1,Male,90,Business Analyst,1,Single,6393,24578,8,Yes,17,4,1,80,2,0,2,1,3,4,5,Very Far,4 Jobs,Level 5,16 Years,On service,Not due,Low,Low Ratings
34,No,Travel_Rarely,1242,Sales,2,Technical Degree,1,5546,1,Male,88,Research Scientist,1,Single,3254,7516,6,No,10,4,1,80,2,1,2,1,4,6,2,Very Close,3 Jobs,Level 3,11 Years,On service,Not due,Medium,High Ratings
54,No,Non-Travel,702,Sales,4,Marketing,1,2747,1,Female,76,HR Executive,2,Divorced,11483,8814,5,Yes,15,4,3,80,1,4,4,8,0,8,2,Very Close,2 Jobs,Level 5,17 Years,On service,due for promotion,High,High Ratings
32,No,Travel_Rarely,1289,Human Resources,1,Life Sciences,1,2859,2,Male,92,Manager,1,Single,11312,27160,9,Yes,16,3,3,80,0,5,2,15,4,2,2,Very Far,1 Jobs,Level 3,5 Years,On service,due for promotion,Medium,Low Ratings
32,No,Travel_Rarely,1466,Human Resources,1,Other,1,997,4,Male,81,Manager,1,Single,19720,4326,7,No,19,3,4,80,3,3,4,1,8,7,5,Very Far,3 Jobs,Level 4,6 Years,On service,due for promotion,Low,High Ratings
57,Yes,Non-Travel,377,Human Resources,2,Marketing,1,229,4,Male,52,Software Engineer,2,Divorced,5334,27839,0,Yes,12,3,2,80,3,3,1,14,0,2,0,Close,2 Jobs,Level 3,10 Years,On service,due for promotion,Low,High Ratings
34,Yes,Travel_Rarely,984,Research & Development,1,Marketing,1,3265,2,Female,86,Sales Executive,2,Single,5507,29760,4,Yes,17,3,1,80,3,5,1,11,1,1,7,Close,3 Jobs,Level 2,21 Years,On service,due for promotion,High,Low Ratings
53,Yes,Travel_Rarely,1297,Sales,4,Medical,1,4829,2,Male,53,Data Analyst,3,Divorced,8920,7312,6,No,11,3,4,80,3,0,4,15,1,0,0,Close,2 Jobs,Level 1,1 Years,due for retirement,due for promotion,Medium,High Ratings
45,No,Non-Travel,892,Sales,2,Life Sciences,1,3943,4,Male,64,Support Engineer,2,Divorced,4867,9844,9,Yes,23,4,1,80,1,3,2,8,6,0,3,Very Far,4 Jobs,Level 3,30 Years,On service,due for promotion,Medium,Low Ratings
39,Yes,Travel_Rarely,1126,Human Resources,1,Life Sciences,1,5460,2,Male,57,Business Analyst,4,Married,13412,16781,3,No,17,3,2,80,1,0,4,0,7,2,7,Very Close,1 Jobs,Level 1,21 Years,due for retirement,due for promotion,High,High Ratings
25,No,Travel_Rarely,1043,Research & Development,1,Medical,1,3833,4,Male,47,Data Analyst,1,Divorced,2461,7095,9,No,22,4,4,80,2,4,1,10,8,5,1,Close,3 Jobs,Level 4,10 Years,On service,due for promotion,Medium,High Ratings
41,No,Non-Travel,516,Human Resources,1,Marketing,1,1653,4,Female,97,Software Engineer,3,Divorced,12156,4026,0,Yes,18,3,1,80,0,3,4,2,1,8,8,Very Far,1 Jobs,Level 4,17 Years,On service,due for promotion,High,Low Ratings
32,No,Travel_Rarely,859,Human Resources,4,Marketing,1,80,4,Female,56,Software Engineer,4,Divorced,17388,28773,7,No,23,3,1,80,3,1,3,19,6,7,4,Very Far,3 Jobs,Level 2,27 Years,On service,Not due,High,High Ratings
56,Yes,Non-Travel,1060,Sales,1,Technical Degree,1,965,4,Male,37,Business Analyst,4,Married,7721,29824,5,Yes,10,3,3,80,2,2,2,19,6,4,6,Very Close,3 Jobs,Level 2,3 Years,On service,due for promotion,Low,High Ratings
39,Yes,Travel_Rarely,763,Sales,3,Technical Degree,1,927,4,Male,66,Support Engineer,3,Divorced,6995,18137,2,No,23,4,2,80,0,0,3,10,6,7,4,Very Far,3 Jobs,Level 3,28 Years,On service,due for promotion,Medium,Low Ratings
45,No,Travel_Rarely,858,Sales,1,Medical,1,795,3,Female,40,Sales Executive,3,Divorced,11907,28081,9,No,12,4,4,80,0,3,1,12,1,3,7,Close,1 Jobs,Level 5,29 Years,due for retirement,due for promotion,Low,Low Ratings
31,Yes,Non-Travel,982,Human Resources,3,Other,1,3380,3,Male,43,Business Analyst,2,Divorced,18228,6779,7,Yes,17,3,1,80,3,4,2,15,3,2,0,Very Far,3 Jobs,Level 4,2 Years,On service,due for promotion,Medium,High Ratings
59,No,Non-Travel,123,Research & Development,4,Marketing,1,3165,4,Male,63,Business Analyst,3,Married,4736,26456,1,Yes,13,3,4,80,0,0,1,9,2,0,7,Close,4 Jobs,Level 1,29 Years,On service,due for promotion,Medium,Low Ratings
30,No,Travel_Rarely,248,Research & Development,3,Other,1,4658,4,Male,81,Research Scientist,1,Divorced,13595,23994,8,No,23,3,3,80,3,1,2,6,2,8,2,Very Far,4 Jobs,Level 5,17 Years,On service,due for promotion,Medium,Low Ratings
22,Yes,Travel_Rarely,943,Research & Development,3,Other,1,3312,1,Male,86,Support Engineer,4,Single,18072,3978,6,Yes,18,3,2,80,3,2,4,15,2,2,9,Very Close,4 Jobs,Level 4,4 Years,On service,due for promotion,High,Low Ratings
28,Yes,Travel_Frequently,1372,Research & Development,2,Medical,1,3935,3,Male,60,Sales Executive,1,Single,4564,14705,4,No,10,3,1,80,0,0,1,1,9,8,5,Close,1 Jobs,Level 3,2 Years,On service,due for promotion,Low,High Ratings
24,No,Travel_Rarely,301,Human Resources,4,Life Sciences,1,1075,2,Female,71,Manager,2,Married,7666,9356,0,No,23,4,3,80,1,2,2,12,1,4,8,Very Far,2 Jobs,Level 4,5 Years,On service,due for promotion,Low,Low Ratings
41,No,Travel_Rarely,1023,Research & Development,2,Technical Degree,1,4841,1,Female,85,Research Scientist,3,Married,9200,14703,2,No,15,4,1,80,3,3,1,18,0,6,4,Close,2 Jobs,Level 2,10 Years,On service,due for promotion,Medium,Low Ratings
40,No,Travel_Rarely,546,Research & Development,2,Life Sciences,1,4184,1,Male,72,HR Executive,4,Divorced,10039,9330,4,No,15,4,1,80,3,2,2,17,9,3,4,Close,1 Jobs,Level 1,1 Years,On service,due for promotion,Low,High Ratings
41,No,Non-Travel,795,Human Resources,2,Other,1,2025,3,Male,93,Support Engineer,2,Single,14623,23272,6,Yes,16,3,4,80,0,3,1,1,7,6,2,Close,4 Jobs,Level 1,28 Years,On service,due for promotion,Low,Low Ratings
23,Yes,Non-Travel,551,Human Resources,1,Marketing,1,5678,3,Male,34,Sales Executive,3,Married,15525,14580,4,No,12,3,1,80,2,1,3,16,3,2,4,Very Close,4 Jobs,Level 2,26 Years,due for retirement,due for promotion,High,High Ratings
26,No,Non-Travel,121,Research & Development,3,Other,1,4635,4,Male,30,Software Engineer,1,Married,17739,12602,0,No,18,4,4,80,3,4,1,15,5,3,0,Very Close,4 Jobs,Level 5,1 Years,On service,due for promotion,High,High Ratings
41,Yes,Travel_Rarely,581,Sales,2,Medical,1,1746,4,Male,93,Research Scientist,1,Single,14761,12846,8,No,13,3,3,80,2,2,1,14,2,7,6,Close,3 Jobs,Level 2,27 Years,On service,Not due,High,High Ratings
48,No,Travel_Frequently,696,Research & Development,2,Other,1,3144,3,Male,73,Sales Executive,3,Married,3477,13006,2,No,22,4,3,80,1,5,1,2,8,1,5,Very Close,2 Jobs,Level 1,26 Years,On service,due for promotion,Low,Low Ratings
25,No,Travel_Rarely,798,Sales,4,Technical Degree,1,3264,4,Female,99,Data Analyst,4,Single,3005,12514,7,No,11,3,4,80,0,5,2,10,9,5,0,Close,3 Jobs,Level 3,4 Years,due for retirement,due for promotion,High,High Ratings
57,No,Travel_Rarely,1254,Research & Development,3,Life Sciences,1,3122,4,Female,53,Business Analyst,4,Married,6290,4197,8,No,16,4,2,80,2,4,3,16,2,2,2,Close,3 Jobs,Level 5,7 Years,On service,Not due,Medium,Low Ratings
32,No,Non-Travel,897,Research & Development,3,Medical,1,1452,1,Male,83,HR Executive,2,Married,5342,9063,4,Yes,23,3,2,80,3,2,3,9,2,9,2,Very Far,2 Jobs,Level 4,14 Years,On service,due for promotion,Medium,High Ratings
49,No,Travel_Rarely,1487,Human Resources,3,Medical,1,440,4,Male,87,Manager,4,Married,15559,24667,6,No,12,3,2,80,2,2,4,8,0,0,7,Very Close,3 Jobs,Level 3,14 Years,On service,due for promotion,Medium,High Ratings
19,No,Travel_Rarely,1184,Human Resources,1,Technical Degree,1,3317,1,Male,91,Business Analyst,2,Married,3536,16571,7,No,21,3,4,80,0,3,3,3,0,3,4,Very Close,1 Jobs,Level 5,18 Years,On service,due for promotion,Low,High Ratings
25,No,Travel_Rarely,180,Sales,2,Other,1,4544,2,Female,87,Data Analyst,3,Married,11287,6709,8,Yes,15,3,1,80,1,1,2,8,4,0,0,Very Far,2 Jobs,Level 1,2 Years,On service,due for promotion,Medium,High Ratings
18,No,Non-Travel,351,Research & Development,3,Marketing,1,2982,1,Male,88,Data Analyst,4,Married,3100,27456,6,No,18,3,4,80,0,3,1,17,0,6,3,Very Close,3 Jobs,Level 1,1 Years,On service,due for promotion,Medium,Low Ratings
49,Yes,Travel_Rarely,507,Human Resources,2,Medical,1,2081,2,Male,87,HR Executive,2,Single,19487,2842,8,No,15,3,1,80,2,1,2,4,8,3,0,Close,1 Jobs,Level 3,21 Years,On service,due for promotion,Low,High Ratings
26,No,Travel_Rarely,510,Research & Development,4,Other,1,4021,3,Male,76,Manager,1,Married,9762,22443,8,No,20,4,3,80,3,4,4,7,2,3,6,Close,4 Jobs,Level 5,22 Years,On service,Not due,High,Low Ratings
22,No,Travel_Rarely,621,Human Resources,3,Medical,1,1455,2,Female,31,Software Engineer,4,Married,18782,25164,8,No,13,4,4,80,1,5,2,7,2,2,0,Very Close,2 Jobs,Level 4,16 Years,On service,due for promotion,High,Low Ratings
41,No,Travel_Rarely,1158,Research & Development,4,Life Sciences,1,255,3,Female,84,Research Scientist,4,Single,6809,19410,2,Yes,13,3,2,80,0,2,3,0,1,1,7,Very Far,2 Jobs,Level 4,29 Years,On service,due for promotion,Low,High Ratings
29,Yes,Travel_Rarely,615,Sales,2,Marketing,1,466,4,Male,52,Support Engineer,3,Single,15708,22903,6,No,16,3,3,80,2,2,2,8,3,7,7,Very Far,4 Jobs,Level 2,22 Years,On service,due for promotion,Low,Low Ratings
25,Yes,Travel_Rarely,667,Human Resources,4,Marketing,1,2118,1,Female,92,Manager,2,Married,9921,29515,1,Yes,13,4,2,80,3,5,3,17,6,1,1,Very Far,2 Jobs,Level 3,18 Years,On service,due for promotion,Medium,Low Ratings
58,No,Travel_Rarely,221,Research & Development,4,Technical Degree,1,507,3,Male,39,Support Engineer,4,Single,5847,14959,2,Yes,24,3,2,80,3,4,2,6,4,8,4,Very Close,2 Jobs,Level 5,16 Years,due for retirement,due for promotion,High,High Ratings
58,No,Travel_Frequently,124,Research & Development,3,Technical Degree,1,4272,1,Male,46,Sales Executive,3,Divorced,9786,5015,8,No,13,3,3,80,0,4,3,19,2,6,2,Very Far,1 Jobs,Level 3,28 Years,On service,Not due,Low,Low Ratings
25,No,Travel_Rarely,760,Sales,1,Other,1,4289,1,Female,99,Data Analyst,2,Single,3823,26940,1,Yes,21,4,1,80,1,1,4,3,5,6,5,Very Close,1 Jobs,Level 4,28 Years,On service,Not due,Medium,High Ratings
27,Yes,Travel_Rarely,506,Research & Development,2,Medical,1,4214,2,Female,53,Sales Executive,2,Divorced,7411,16762,8,Yes,19,4,3,80,2,3,4,0,9,1,5,Close,2 Jobs,Level 5,23 Years,On service,Not due,Low,Low Ratings
40,No,Travel_Frequently,1107,Sales,1,Medical,1,234,3,Male,48,Software Engineer,1,Married,3210,6511,6,No,19,4,2,80,0,3,1,17,5,9,6,Close,1 Jobs,Level 1,22 Years,On service,due for promotion,Low,Low Ratings
59,Yes,Travel_Rarely,377,Sales,4,Life Sciences,1,554,2,Male,86,Sales Executive,2,Divorced,2630,13502,1,No,20,4,3,80,3,0,4,15,3,8,7,Close,2 Jobs,Level 1,24 Years,On service,Not due,High,Low Ratings
29,Yes,Non-Travel,943,Sales,2,Technical Degree,1,5315,4,Female,53,Manager,3,Married,9055,7820,1,Yes,23,4,4,80,1,2,4,9,1,7,5,Close,4 Jobs,Level 5,6 Years,On service,due for promotion,Low,Low Ratings
35,No,Travel_Frequently,1368,Research & Development,4,Life Sciences,1,545,2,Female,52,Sales Executive,4,Married,12156,7002,5,Yes,22,4,4,80,3,5,3,3,7,5,3,Very Far,1 Jobs,Level 3,25 Years,On service,due for promotion,High,High Ratings
25,No,Non-Travel,1350,Human Resources,4,Technical Degree,1,3701,1,Female,60,Software Engineer,4,Divorced,7315,6659,8,Yes,14,3,1,80,0,1,4,3,2,7,5,Close,3 Jobs,Level 3,10 Years,On service,due for promotion,Low,High Ratings
58,Yes,Non-Travel,496,Human Resources,3,Marketing,1,3541,1,Male,38,Software Engineer,4,Married,9455,11652,0,Yes,10,4,4,80,0,1,3,9,7,4,4,Very Close,3 Jobs,Level 1,2 Years,On service,due for promotion,Low,High Ratings
55,No,Travel_Rarely,693,Human Resources,2,Other,1,2789,1,Female,35,Software Engineer,4,Married,10782,22100,5,No,18,4,3,80,3,5,4,5,7,4,2,Very Close,3 Jobs,Level 1,7 Years,On service,due for promotion,Medium,Low Ratings
34,Yes,Travel_Frequently,1408,Sales,1,Other,1,2865,1,Female,66,Manager,2,Single,13864,4451,5,Yes,19,3,2,80,2,0,1,6,9,3,4,Very Far,3 Jobs,Level 4,21 Years,due for retirement,due for promotion,Medium,Low Ratings
57,No,Non-Travel,450,Human Resources,4,Marketing,1,2084,4,Male,62,Software Engineer,3,Married,8547,17111,7,Yes,24,3,4,80,0,5,2,0,5,9,7,Very Close,3 Jobs,Level 5,17 Years,On service,Not due,High,High Ratings
59,No,Non-Travel,502,Human Resources,4,Marketing,1,5543,1,Female,59,Data Analyst,2,Married,14836,7892,0,No,10,4,2,80,1,3,4,17,0,1,5,Very Close,4 Jobs,Level 3,3 Years,On service,due for promotion,High,High Ratings
46,No,Travel_Frequently,1185,Research & Development,1,Other,1,309,2,Male,30,Business Analyst,1,Divorced,16616,6784,1,No,18,3,4,80,2,4,2,14,5,2,9,Very Close,2 Jobs,Level 4,20 Years,On service,due for promotion,Medium,High Ratings
38,No,Travel_Frequently,1408,Human Resources,2,Other,1,711,3,Male,80,Software Engineer,4,Single,2571,4268,8,No,15,3,1,80,0,3,2,13,1,9,8,Very Close,4 Jobs,Level 3,12 Years,due for retirement,due for promotion,Low,Low Ratings
25,No,Travel_Frequently,1353,Research & Development,2,Other,1,4104,4,Male,99,Sales Executive,3,Single,4613,21707,1,Yes,10,3,3,80,2,5,1,18,8,4,8,Close,2 Jobs,Level 1,2 Years,On service,due for promotion,Medium,High Ratings
28,No,Non-Travel,116,Human Resources,1,Medical,1,1581,1,Male,74,Research Scientist,2,Divorced,14180,22053,9,Yes,16,3,1,80,0,4,3,19,9,3,3,Close,3 Jobs,Level 5,7 Years,On service,due for promotion,High,Low Ratings
34,No,Travel_Rarely,896,Research & Development,1,Other,1,1311,2,Male,30,Sales Executive,1,Divorced,13204,21492,5,No,12,3,2,80,2,3,3,18,1,3,7,Close,2 Jobs,Level 2,17 Years,On service,due for promotion,Low,High Ratings
45,Yes,Travel_Rarely,967,Research & Development,3,Life Sciences,1,626,3,Female,63,Research Scientist,1,Divorced,2033,19410,0,No,12,3,4,80,1,4,2,13,7,6,6,Very Far,3 Jobs,Level 5,19 Years,On service,due for promotion,High,Low Ratings
29,No,Non-Travel,1451,Sales,3,Marketing,1,24,1,Male,91,Sales Executive,3,Married,4924,9203,4,No,18,3,3,80,3,5,2,17,9,9,2,Close,3 Jobs,Level 2,12 Years,On service,Not due,Low,High Ratings
55,No,Non-Travel,1211,Sales,4,Technical Degree,1,2532,3,Male,88,Manager,3,Single,16839,9784,0,Yes,13,4,1,80,2,4,3,17,8,0,3,Close,3 Jobs,Level 4,9 Years,due for retirement,Not due,Medium,High Ratings
51,No,Non-Travel,427,Human Resources,4,Marketing,1,1871,3,Female,79,Sales Executive,4,Married,8834,26745,5,No,14,4,1,80,3,4,4,3,4,1,1,Very Close,3 Jobs,Level 2,27 Years,On service,Not due,Medium,High Ratings
42,Yes,Non-Travel,1085,Sales,2,Marketing,1,5111,2,Male,62,Manager,2,Divorced,2387,2675,8,Yes,23,4,2,80,1,1,3,0,3,2,6,Very Close,1 Jobs,Level 2,14 Years,due for retirement,due for promotion,High,High Ratings
26,No,Travel_Rarely,689,Research & Development,3,Life Sciences,1,3489,3,Male,45,Manager,1,Married,12772,17560,7,No,18,3,2,80,2,1,2,15,8,5,9,Close,3 Jobs,Level 4,2 Years,On service,due for promotion,Low,Low Ratings
59,No,Travel_Rarely,887,Human Resources,1,Other,1,1171,2,Male,71,Software Engineer,2,Divorced,15384,18552,2,No,18,4,1,80,1,5,1,3,8,0,9,Very Close,2 Jobs,Level 5,21 Years,due for retirement,due for promotion,High,Low Ratings
34,No,Non-Travel,923,Sales,1,Life Sciences,1,4746,3,Male,82,Data Analyst,2,Single,8479,3888,4,No,23,4,4,80,2,0,3,4,6,4,7,Close,2 Jobs,Level 4,4 Years,On service,due for promotion,High,Low Ratings
39,No,Travel_Rarely,1340,Human Resources,1,Medical,1,2119,4,Male,67,Research Scientist,1,Single,4009,17973,2,Yes,13,3,1,80,0,0,2,7,3,7,2,Very Close,1 Jobs,Level 1,28 Years,On service,Not due,Medium,Low Ratings
